Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
class std::list<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,class std::allocator<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > ;class std::list ;9691625;5626800;14419300;3865585;4
class std::list<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > ;class std::list ;9579233;4498400;12554400;3610185;3
struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > ;struct std::pair ;9094450;3589900;18082800;6003498;4
class std::match_results<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,class std::allocator<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > > > ;class std::match_results ;8726800;8726800;8726800;0;1
class std::tuple<struct `anonymous namespace'::DataPerTemplate &&> ;class std::tuple ;8639800;8639800;8639800;0;1
class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > ;class std::tuple ;8524900;8524900;8524900;0;1
class rapidjson::GenericObject<0,class rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> > > ;class rapidjson::GenericObject ;8515200;8515200;8515200;0;1
class std::_Umap_traits<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> >,0> ;class std::_Umap_traits ;8450833;1694200;15661200;5053028;6
class std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const *,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const *> > ;class std::vector ;8318000;8318000;8318000;0;1
class std::vector<bool,class std::allocator<bool> > ;class std::vector ;7806700;7806700;7806700;0;1
class std::tuple<class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> > ;class std::tuple ;7558200;7558200;7558200;0;1
class std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;class std::vector ;7548900;7548900;7548900;0;1
class std::tuple<struct PackedProcessThreadRemapper::LocalThreadData &> ;class std::tuple ;7250500;7250500;7250500;0;1
class std::vector<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *>,class std::allocator<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *> > > ;class std::vector ;7245600;7245600;7245600;0;1
struct std::pair<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void *> *,bool> ;struct std::pair ;7228700;7228700;7228700;0;1
class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > ;class std::basic_string ;7038550;6565100;7454800;346083;4
struct std::pair<class std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<unsigned __int64> > >,bool> ;struct std::pair ;6862700;6862700;6862700;0;1
struct std::_SP_pointer_compatible<class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class cxxopts::Value> ;struct std::_SP_pointer_compatible ;6791100;6791100;6791100;0;1
class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> > ;class std::_Uhash_compare ;6786344;1370600;13111100;3742436;9
class std::tuple<struct ProcessThreadRemap &> ;class std::tuple ;6775500;6775500;6775500;0;1
struct std::_Hash_vec<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > > > > > ;struct std::_Hash_vec ;6670716;2308300;21346100;6683361;6
struct std::_SP_pointer_compatible<class cxxopts::values::standard_value<unsigned int>,class cxxopts::Value> ;struct std::_SP_pointer_compatible ;6658000;6658000;6658000;0;1
void __cdecl std::vector<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *>,class std::allocator<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *> > >::emplace_back<const class TimelineEntry*&,struct PackedProcessThreadRemapper::LocalThreadData*>(const class TimelineEntry *&,struct PackedProcessThreadRemapper::LocalThreadData *&&);decltype(auto) __cdecl std::vector<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *>,class std::allocator<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *> > >::emplace_back(_Valty &&...);6629500;6629500;6629500;0;1
struct std::is_convertible<class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > *,class cxxopts::Value *> ;struct std::is_convertible ;6623600;6623600;6623600;0;1
class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrReloggerGroupImpl<class Microsoft::Cpp::BuildInsights::IRelogger *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > ;class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrReloggerGroupImpl ;6581466;4320000;9660200;2255419;3
class std::basic_ofstream<char,struct std::char_traits<char> > ;class std::basic_ofstream ;6544500;3871600;7983700;1384519;6
struct std::is_convertible<class cxxopts::values::standard_value<unsigned int> *,class cxxopts::Value *> ;struct std::is_convertible ;6484500;6484500;6484500;0;1
class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > ;class cxxopts::values::standard_value ;6480600;6480600;6480600;0;1
class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer>,class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > ;class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl ;6472566;4813200;9237600;1968197;3
class std::basic_string<char32_t,struct std::char_traits<char32_t>,class std::allocator<char32_t> > ;class std::basic_string ;6465600;6289900;6743500;173190;4
class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrReloggerGroupImpl<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger>,class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> > ;class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrReloggerGroupImpl ;6457733;4594500;10017000;2517707;3
class std::basic_string<wchar_t,struct std::char_traits<wchar_t>,class std::allocator<wchar_t> > ;class std::basic_string ;6438025;6255700;6645200;142947;4
class std::basic_string<char16_t,struct std::char_traits<char16_t>,class std::allocator<char16_t> > ;class std::basic_string ;6406925;5923000;6892200;343288;4
class cxxopts::values::standard_value<unsigned int> ;class cxxopts::values::standard_value ;6350300;6350300;6350300;0;1
class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > ;class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl ;6194866;4431600;9387600;2261712;3
class cxxopts::values::abstract_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > ;class cxxopts::values::abstract_value ;6180600;6180600;6180600;0;1
struct std::_Tuple_constructible_val<class std::tuple<unsigned __int64 const &>,struct std::_Exact_args_t,unsigned __int64 const &> ;struct std::_Tuple_constructible_val ;6172250;249100;23715100;10128698;4
class std::vector<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger>,class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> > > ;class std::vector ;6144233;4035700;8991700;2089657;3
class std::_Matcher<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,char,class std::regex_traits<char>,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > ;class std::_Matcher ;6073400;6073400;6073400;0;1
class std::vector<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger>,class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> > > ;class std::vector ;6064333;4289500;9448400;2393851;3
class cxxopts::values::abstract_value<unsigned int> ;class cxxopts::values::abstract_value ;6052400;6052400;6052400;0;1
class std::vector<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer *> > ;class std::vector ;5877266;4074200;9238400;2378783;3
class std::vector<class Microsoft::Cpp::BuildInsights::IRelogger *,class std::allocator<class Microsoft::Cpp::BuildInsights::IRelogger *> > ;class std::vector ;5872866;4313100;8780200;2057619;3
class std::_Matcher<char const *,char,class std::regex_traits<char>,char const *> ;class std::_Matcher ;5843100;5843100;5843100;0;1
class std::vector<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer>,class std::allocator<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > ;class std::vector ;5839766;4514700;7934700;1498581;3
class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile> > ;class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl ;5837400;5837400;5837400;0;1
class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity> > ;class Microsoft::Cpp::BuildInsights::Internal::ReverseGroupImpl ;5806500;5806500;5806500;0;1
class std::vector<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer>,class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > ;class std::vector ;5777733;4133000;8755900;2109713;3
class Microsoft::Cpp::BuildInsights::EventGroup<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile> ;class Microsoft::Cpp::BuildInsights::EventGroup ;5758733;5545100;6036100;205453;3
class std::vector<char,class std::allocator<char> > ;class std::vector ;5691400;5691400;5691400;0;1
class std::_Vb_val<class std::allocator<bool> > ;class std::_Vb_val ;5680600;5680600;5680600;0;1
class Microsoft::Cpp::BuildInsights::EventGroup<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation> ;class Microsoft::Cpp::BuildInsights::EventGroup ;5561600;5263800;6023300;331016;3
class std::list<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue>,class std::allocator<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > > ;class std::list ;5542500;5542500;5542500;0;1
